DATE;latitude;longitude;number;expver;tco3
01/06/1987;-7.57;113.42;0;1;0.0052436246
01/06/1987;-7.57;113.67;0;1;0.00524255
01/06/1987;-7.82;111.67;0;1;0.0052303253
01/06/1987;-7.82;111.92;0;1;0.0052359533
01/06/1987;-7.82;112.17;0;1;0.005230911
01/06/1987;-7.82;112.42;0;1;0.005211803
01/06/1987;-7.82;112.67;0;1;0.0052096136
01/06/1987;-7.82;112.92;0;1;0.00522492
01/06/1987;-7.82;113.17;0;1;0.0052311094
01/06/1987;-7.82;113.42;0;1;0.005228699
01/06/1987;-7.82;113.67;0;1;0.005224093
01/06/1987;-8.07;111.67;0;1;0.005233595
01/06/1987;-8.07;111.92;0;1;0.0052368008
01/06/1987;-8.07;112.17;0;1;0.0052311085
01/06/1987;-8.07;112.42;0;1;0.005217555
01/06/1987;-8.07;112.67;0;1;0.005206938
01/06/1987;-8.07;112.92;0;1;0.005208209
01/06/1987;-8.07;113.17;0;1;0.005215725
01/06/1987;-8.07;113.42;0;1;0.005216784
01/06/1987;-8.07;113.67;0;1;0.005210572
01/06/1987;-8.32;111.67;0;1;0.005240822
01/06/1987;-8.32;111.92;0;1;0.005242138
01/06/1987;-8.32;112.17;0;1;0.0052404096
01/06/1987;-8.32;112.42;0;1;0.005233337
01/06/1987;-8.32;112.67;0;1;0.005229906
01/06/1987;-8.32;112.92;0;1;0.00522973
01/06/1987;-8.32;113.17;0;1;0.0052348273
01/06/1987;-8.32;113.42;0;1;0.0052369554
01/06/1987;-8.32;113.67;0;1;0.005231633
01/06/1987;-8.57;111.67;0;1;0.0052464567
01/06/1987;-8.57;111.92;0;1;0.0052463207
01/06/1987;-8.57;112.17;0;1;0.0052446974
01/06/1987;-8.57;112.42;0;1;0.005243779
01/06/1987;-8.57;112.67;0;1;0.0052429307
01/06/1987;-8.57;112.92;0;1;0.00524274
01/06/1987;-8.57;113.17;0;1;0.005243863
01/06/1987;-8.57;113.42;0;1;0.0052434476
01/06/1987;-8.57;113.67;0;1;0.0052404227
01/07/1987;-6.57;111.67;0;1;0.0052997656
01/07/1987;-6.57;111.92;0;1;0.005299015
01/07/1987;-6.57;112.17;0;1;0.005298119
01/07/1987;-6.57;112.42;0;1;0.0052976776
01/07/1987;-6.57;112.67;0;1;0.0052967593
01/07/1987;-6.57;112.92;0;1;0.005295744
01/07/1987;-6.57;113.17;0;1;0.005294675
01/07/1987;-6.57;113.42;0;1;0.0052937604
01/07/1987;-6.57;113.67;0;1;0.0052929856
01/07/1987;-6.82;111.67;0;1;0.005290918
01/07/1987;-6.82;111.92;0;1;0.0052905846
01/07/1987;-6.82;112.17;0;1;0.00529081
01/07/1987;-6.82;112.42;0;1;0.005290678
01/07/1987;-6.82;112.67;0;1;0.005290309
01/07/1987;-6.82;112.92;0;1;0.0052895155
01/07/1987;-6.82;113.17;0;1;0.0052879546
01/07/1987;-6.82;113.42;0;1;0.005286962
01/07/1987;-6.82;113.67;0;1;0.0052865613
01/07/1987;-7.07;111.67;0;1;0.0052829757
01/07/1987;-7.07;111.92;0;1;0.0052828155
01/07/1987;-7.07;112.17;0;1;0.0052837487
01/07/1987;-7.07;112.42;0;1;0.0052841753
01/07/1987;-7.07;112.67;0;1;0.005283879
01/07/1987;-7.07;112.92;0;1;0.005281994
01/07/1987;-7.07;113.17;0;1;0.005280435
01/07/1987;-7.07;113.42;0;1;0.0052806213
01/07/1987;-7.07;113.67;0;1;0.0052802693
01/07/1987;-7.32;111.67;0;1;0.0052758045
01/07/1987;-7.32;111.92;0;1;0.0052757375
